,Or2a,Or7a,Or9a,Or10a,Or13a,Or19a,Or22a,Or22b,Or23a,Or33a,Or33b,Or33c,Or35a,Or42a,Or42b,Or43a,Or43b,Or46a,Or47a,Or47b,Or49a,Or49b,Or59b,Or59c,Or65a,Or67a,Or67b,Or67c,Or67d,Or71a,Or82a,Or85a,Or85b,Or85d,Or85e,Or85f,Or88a,Or92a,Or98a,Gr21a.Gr63a,ab4B,Or69a,Ir31a,Ir41a,Ir75a,Ir75d,Ir76a,Ir84a,Ir92a,Ir64a.DC4,Ir64a.DP1m,Or83c
sfr,0.0484519594259682,0.0253242636834234,0.0643454304035451,0.0516610256503943,0.0798033726361042,0.100068632791183,0.0844851594432195,0.0,0.0193166138419072,0.0,0.0628010984874142,0.0456156813679491,0.0815668824900846,0.0820413429755042,0.0515947301664287,0.0952840397914614,0.0148958069850658,0.0981468215617922,0.0519458009983182,0.197855275636551,0.0,0.0480480678185146,0.0237278953572533,0.035801330295347,0.0594830827654459,0.0245475610642235,0.0509146775904631,0.022870176331353,0.0,0.0304873278033626,0.0266089279218359,0.0457087530072997,0.0649544208071264,0.0471665244524903,0.0,0.0339095272706805,0.0563173771366528,0.0341129784480607,0.0151717392437132,0.141138771187769,0.0648594697405211,0.0,0.116693154528814,0.162659167726898,0.0843960688911337,0.0268912731497301,0.0448016919334678,0.174645551848023,0.0756374678126319,0.0,0.0159901637132459,0.0783410138248848
water,0.0,0.0944385437931836,0.0687750651132014,0.0567331284745431,0.197693381491229,0.0,0.367991237863872,0.0,0.0,0.0170594837261504,0.0,0.0,0.0,0.12289645415436,0.224557609386678,0.0,0.0653931258841061,0.0,0.0,0.0,0.0119607379042773,0.079107571362906,0.0427202335070242,0.0368535242075764,0.0,0.0,0.116167829556645,0.0257752986868505,0.0,0.0212483018566987,0.061800785599491,0.0,0.219674453017382,0.093544629701734,0.0,0.0,0.0,0.0243569207501803,0.148022631684256,0.0,0.0,0.0,0.138766941747089,0.328675278877804,0.304459615032771,0.0143511241713934,0.0338767704179274,0.201460116201023,0.0,0.85496339878224,0.180955352688233,0.0
ammonium hydroxide,0.0566350377258539,0.0675362791636635,0.108420042656529,0.0539194598193647,0.123406074996944,0.0972160395118865,0.184984062077221,0.0,0.0150240329881501,0.0,0.00812988324652515,0.0,0.0732159712284488,0.0310175048894062,0.112581156084796,0.090697297193029,0.0196479072202648,0.0,0.0814204319126974,0.177528054829076,0.0,0.0561053811637512,0.0115393956823088,0.0347747981863689,0.0692881563970985,0.0415471248918793,0.0,0.025907138517524,0.0,0.021674134859227,0.0300762731207152,0.0331803457476028,0.0540395167072734,0.0448212916865901,0.0,0.0866248193088024,0.0562504759054745,0.0108988241967155,0.0681812355029866,0.0,0.0,0.0,0.00168994266785533,0.0,0.121296589926725,0.0323583680721657,0.0578672003932722,0.00432665386863436,0.016627558545759,0.0283573920777177,0.0214534696486049,0.0
putrescine,0.0637914765191967,0.0504424247866712,0.0978696616175452,0.0567451541476919,0.153453091151832,0.0806544206086686,0.175114309972285,0.0,0.0150240329881501,0.0,0.0242144365951538,0.0,0.0599117309000287,0.174700313202082,0.258614875916227,0.0321856897294794,0.0492637851810648,0.0,0.0220764659848786,0.133133080608284,0.0,0.0641256250750302,0.0296688206274817,0.0644005073169174,0.0527466368479647,0.00716379047933081,0.0,0.0421216162156154,0.0,0.0362064678768455,0.0471126604115213,0.0209560078405912,0.167341314815104,0.0815493243859038,0.0,0.060990477118362,0.0438206328575108,0.0172167075608837,0.0727188496820858,0.0,0.306816144197326,0.0,0.139446403232103,0.490747568383721,0.274430216745532,0.0264812410305474,0.0285807997558222,0.1624112826655,0.0307733919354346,0.32622973250325,0.147709137301109,0.0
cadaverine,0.0519266473802894,0.0189183667316663,0.13990293247772,0.0463831479519359,0.0,0.0859707428371873,0.0898951702322031,0.0,0.00429258085375716,0.0,0.0142005677684903,0.0,0.099708489815368,0.0,0.0,0.0482785345942192,0.0531823695864968,0.0,0.0237293685404051,0.157656093854446,0.0,0.0551883086146224,0.0275997278747651,0.0,0.0561359132303256,0.00238793015977694,0.0,0.0388829264721942,0.0,0.0,0.0206347569765559,0.0244486758140231,0.1012712299526,0.0,0.0,0.0838854221763205,0.0562504759054745,0.0,0.0787495683447577,0.0,0.0250908265549268,0.0,0.0732424636666368,0.41365524527575,0.196231355388242,0.0288389257158477,0.0344872341020324,0.166272039395971,0.0399282002889868,0.293186016282411,0.101903980830874,0.0
ammonia,0.0,0.0834157354786361,0.0,0.0982056081492378,0.118778677617072,0.0,0.088052846705089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312449951322644,0.0,0.0,0.0,0.0,0.0,0.0,0.0779896848403772,0.0125216097602956,0.0,0.0,0.0,0.0,0.0709990086242188,0.0,0.0,0.0502461920250091,0.0,0.298913237931172,0.0,0.0,0.0,0.0,0.0198720355047079,0.0998952403585685,0.171432308761003,0.305931663917148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170506912442396
ethanolamine,0.0,0.0854401889271052,0.0,0.0761855582584193,0.128288587726275,0.0,0.281271814778947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312449951322644,0.0,0.0,0.0,0.0,0.0,0.0,0.0779896848403772,0.0154493748879538,0.0,0.0,0.0,0.0,0.0709990086242188,0.0,0.0,0.0502461920250091,0.0,0.191017058606509,0.0,0.0,0.0,0.0,0.0198720355047079,0.0998952403585685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dimethylamine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0110456046538173,0.0323956777981122,0.108355469498159,0.0226542745848425,0.0558376068461181,0.0218952392131474,0.352294673268022,0.168365601696655,0.114029854980085,0.0
gamma-butyrolactone,0.0710694363747978,0.131842126242083,0.226697302146408,0.0501368225733456,0.0,0.0830219606410761,0.167099878336616,0.0,0.0279017755494215,0.0,0.0682799215717961,0.0,0.322102658106673,0.0,0.0,0.0436805789185792,0.107050170047235,0.0,0.0523655361235191,0.267348218700223,0.0,0.0564810066456328,0.0527077103058883,0.0,0.0787705068840572,0.251991170410628,0.0,0.0503900030651769,0.0,0.0,0.0137959957286611,0.0296876777741709,0.161897007082224,0.0,0.0,0.102806214244798,0.0603937569214624,0.0,0.103396314583975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gamma-hexalactone,0.0860264073464582,0.028057760905105,0.373229715378667,0.103401518629283,0.0,0.105322886215607,0.386093531856131,0.0,0.0614206549627901,0.0,0.126261772449679,0.0,0.597381104804987,0.0,0.0,0.12921175779527,0.168394287454202,0.0,0.104856640852969,0.129463467793873,0.0,0.0564810066456328,0.0576337441832341,0.0,0.114174747404041,0.115533936882703,0.0,0.0946714820710876,0.0,0.0,0.0306406218868117,0.0384193477077506,0.182107819258478,0.0,0.0,0.21568125963464,0.0624653974294564,0.0,0.0879768154927999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gamma-octalactone,0.0662034800114807,0.0419092519684363,0.154334109778592,0.103401518629283,0.0,0.112378671187681,0.162426955324261,0.0,0.025755485122543,0.0,0.0782852669010495,0.0,0.178278845053753,0.0,0.0,0.071301668778723,0.153308457977331,0.0,0.0843403468292505,0.150001964228441,0.0,0.0538853508417014,0.0122738313703022,0.0,0.119768980988405,0.0662603430508704,0.0,0.0426428814331834,0.0,0.0,0.0667111129074835,0.0209560078405912,0.589971848675731,0.0,0.0,0.12427322352598,0.0231042277775713,0.0,0.332522347092561,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gamma-decalactone,0.0472647503243972,0.056988026898793,0.071824744018302,0.0543168897498642,0.0,0.0634822346852659,0.0985536785120147,0.0,0.0128777425612715,0.0,0.100885330643317,0.0,0.049907947182715,0.0,0.0,0.0298867118916595,0.0078107650677281,0.0,0.0329475608099866,0.190696749046354,0.0,0.0577640141437555,0.00675840448088825,0.0,0.0527466368479647,0.0251995542880459,0.0,0.0160719657018802,0.0,0.0,0.0124282434790821,0.0244486758140231,0.0472845771188642,0.0,0.0,0.0195107155712656,0.0707519594614322,0.0,0.0420149164861622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
delta-decalactone,0.0495900793702409,0.0519553270291804,0.0685361297688728,0.0474038897255005,0.0,0.0639690918007066,0.083948880155508,0.0,0.0150240329881501,0.0,0.0944948354473489,0.0,0.0264796979105934,0.0,0.0,0.0344846675672994,0.0078107650677281,0.0,0.0388743391466449,0.187945732034052,0.0,0.0525715292470565,0.0157274381014439,0.0,0.0423089190901143,0.0158667353205007,0.0,0.0144228372675282,0.0,0.0,0.016531500227819,0.04941399811232,0.0844324554767383,0.0,0.0,0.0298460002697485,0.0541788353974806,0.0,0.0389657899764776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
methanoic acid,0.0449502761471687,0.0536948903493567,0.119083324318581,0.136451221358142,0.0,0.0963124557369899,0.143219222466663,0.0,0.00214629042687858,0.0,0.0168270210004114,0.0,0.0765359653863246,0.0,0.0,0.0505775124320391,0.0234322952031843,0.0,0.0368971276966657,0.14737197775671,0.0,0.0615601163979373,0.0739976571088347,0.0,0.0660576345477512,0.0214886865895476,0.0,0.0351946508168096,0.0,0.0,0.0124282434790821,0.027941343787455,0.0506620469130688,0.0,0.0,0.0579352420279559,0.0562504759054745,0.0,0.0267871183233123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.202764976958525
