,ac1A,ac1B,ac2A,ac2B,ac3A,ac3B,ac4,Or1a,Or2a,Or7a,Or9a,Or10a,Or13a,Or19a,Or22a,Or22b,Or22c,Or23a,Or24a,Or30a,Or33a,Or33b,Or33c,Or35a,Or42a,Or42b,Or43a,Or43b,Or45a,Or45b,Or46a,Or47a,Or47b,Or49a,Or49b,Or59a,Or59b,Or59c,Or65a,Or67a,Or67b,Or67c,Or67d,Or71a,Or74a,Or82a,Or85a,Or85b,Or85c,Or85d,Or85e,Or85f,Or88a,Or92a,Or94a,Or94b,Or98a,Gr21a.Gr63a,ab2B,ab4B,ab5B,pb2A,Or69a,ac1,ac2,ac3_noOr35a,Ir31a,Ir41a,Ir75a,Ir75d,Ir76a,Ir84a,Ir92a,Ir64a.DC4,Ir64a.DP1m,ac1BC,ac2BC,Or83c
sfr,0.0627144154948233,0.06972846128059,0.0560499756806606,0.0708944890612019,0.0686498715043326,0.044663894431287,0.0926953864567086,0.0,0.0484519594259682,0.0253242636834234,0.0643454304035451,0.0516610256503943,0.0798033726361042,0.100068632791183,0.0844851594432195,0.0,0.0,0.0193166138419072,0.0,0.0124334561664348,0.0,0.0628010984874142,0.0456156813679491,0.0815668824900846,0.0820413429755042,0.0515947301664287,0.0952840397914614,0.0148958069850658,0.00866147299082981,0.0247896923532088,0.0981468215617922,0.0519458009983182,0.197855275636551,0.0,0.0480480678185146,0.00684354055728657,0.0237278953572533,0.035801330295347,0.0594830827654459,0.0245475610642235,0.0509146775904631,0.022870176331353,0.0,0.0304873278033626,0.0128166788424219,0.0266089279218359,0.0457087530072997,0.0649544208071264,0.0293216402340449,0.0471665244524903,0.0,0.0339095272706805,0.0563173771366528,0.0341129784480607,0.0433570074602826,0.00359601940696041,0.0151717392437132,0.141138771187769,0.00697154784854252,0.0648594697405211,0.0248470762891088,0.0,0.0,0.186086452246063,0.171428571428571,0.096468397311523,0.116693154528814,0.162659167726898,0.0843960688911337,0.0268912731497301,0.0448016919334678,0.174645551848023,0.0756374678126319,0.0,0.0159901637132459,0.0206947524020695,0.0204567904294227,0.0783410138248848
water,0.0226373514022638,0.0,0.0867655309506444,0.0,0.22250973104288,0.0612097926667601,0.104770950103096,0.0248784137673027,0.0,0.0944385437931836,0.0687750651132014,0.0567331284745431,0.197693381491229,0.0,0.367991237863872,0.0,0.0,0.0,0.0,0.0434631309368299,0.0170594837261504,0.0,0.0,0.0,0.12289645415436,0.224557609386678,0.0,0.0653931258841061,0.25515685946897,0.027974839386481,0.0,0.0,0.0,0.0119607379042773,0.079107571362906,0.0,0.0427202335070242,0.0368535242075764,0.0,0.0,0.116167829556645,0.0257752986868505,0.0,0.0212483018566987,0.248782914409821,0.061800785599491,0.0,0.219674453017382,0.100972273067541,0.093544629701734,0.0,0.0,0.0,0.0243569207501803,0.200040327569892,0.0403447761860539,0.148022631684256,0.0,0.00799346302242025,0.0,0.0922886354617825,0.0,0.0,0.257240130258286,0.266665306122449,0.156807282690809,0.138766941747089,0.328675278877804,0.304459615032771,0.0143511241713934,0.0338767704179274,0.201460116201023,0.0,0.85496339878224,0.180955352688233,0.0252217294900222,0.0227291988996244,0.0
ammonium hydroxide,0.476843278255002,0.0,0.0496419848123745,0.0,0.0718763493728658,0.378349495305383,0.151006532829678,0.0,0.0566350377258539,0.0675362791636635,0.108420042656529,0.0539194598193647,0.123406074996944,0.0972160395118865,0.184984062077221,0.0,0.0,0.0150240329881501,0.0,0.0,0.0,0.00812988324652515,0.0,0.0732159712284488,0.0310175048894062,0.112581156084796,0.090697297193029,0.0196479072202648,0.0,0.0,0.0,0.0814204319126974,0.177528054829076,0.0,0.0561053811637512,0.0,0.0115393956823088,0.0347747981863689,0.0692881563970985,0.0415471248918793,0.0,0.025907138517524,0.0,0.021674134859227,0.0,0.0300762731207152,0.0331803457476028,0.0540395167072734,0.0,0.0448212916865901,0.0,0.0866248193088024,0.0562504759054745,0.0108988241967155,0.0,0.0,0.0681812355029866,0.0,0.00608275838324927,0.0,0.0214053845925548,0.0,0.0,0.698275862068965,0.175510204081633,0.210477265821167,0.00168994266785533,0.0,0.121296589926725,0.0323583680721657,0.0578672003932722,0.00432665386863436,0.016627558545759,0.0283573920777177,0.0214534696486049,0.0229582409460458,0.0244339314354096,0.0
putrescine,0.0609788193571426,0.113308749580959,0.883934226407428,0.0443090556632512,0.189888734613282,0.41216895845892,0.0920866927420246,0.0,0.0637914765191967,0.0504424247866712,0.0978696616175452,0.0567451541476919,0.153453091151832,0.0806544206086686,0.175114309972285,0.0,0.0,0.0150240329881501,0.0,0.0,0.0,0.0242144365951538,0.0,0.0599117309000287,0.174700313202082,0.258614875916227,0.0321856897294794,0.0492637851810648,0.0,0.0,0.0,0.0220764659848786,0.133133080608284,0.0,0.0641256250750302,0.0,0.0296688206274817,0.0644005073169174,0.0527466368479647,0.00716379047933081,0.0,0.0421216162156154,0.0,0.0362064678768455,0.0,0.0471126604115213,0.0209560078405912,0.167341314815104,0.0,0.0815493243859038,0.0,0.060990477118362,0.0438206328575108,0.0172167075608837,0.0,0.0,0.0727188496820858,0.0,0.00654504842558976,0.306816144197326,0.122184595201418,0.0,0.0,0.243899718963287,0.913265306122449,0.125828344319378,0.139446403232103,0.490747568383721,0.274430216745532,0.0264812410305474,0.0285807997558222,0.1624112826655,0.0307733919354346,0.32622973250325,0.147709137301109,0.0252217294900222,0.030685185644134,0.0
cadaverine,0.0,0.0,0.0,0.0,0.165465106956345,0.0628132555727109,0.086690846052097,0.0,0.0519266473802894,0.0189183667316663,0.13990293247772,0.0463831479519359,0.0,0.0859707428371873,0.0898951702322031,0.0,0.0,0.00429258085375716,0.0,0.0,0.0,0.0142005677684903,0.0,0.099708489815368,0.0,0.0,0.0482785345942192,0.0531823695864968,0.0,0.0,0.0,0.0237293685404051,0.157656093854446,0.0,0.0551883086146224,0.0,0.0275997278747651,0.0,0.0561359132303256,0.00238793015977694,0.0,0.0388829264721942,0.0,0.0,0.0,0.0206347569765559,0.0244486758140231,0.1012712299526,0.0,0.0,0.0,0.0838854221763205,0.0562504759054745,0.0,0.0,0.0,0.0787495683447577,0.0,0.0,0.0250908265549268,0.0,0.0,0.0,0.422759512869697,0.686734693877551,0.0985655363835126,0.0732424636666368,0.41365524527575,0.196231355388242,0.0288389257158477,0.0344872341020324,0.166272039395971,0.0399282002889868,0.293186016282411,0.101903980830874,0.0,0.0,0.0
ammonia,0.548229287412913,0.104592691920885,0.0349164488793721,0.0324933074863842,0.0697364032766704,0.109467691367119,0.177519448839271,0.0,0.0,0.0834157354786361,0.0,0.0982056081492378,0.118778677617072,0.0,0.088052846705089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312449951322644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779896848403772,0.0,0.0125216097602956,0.0,0.0,0.0,0.0,0.0709990086242188,0.0,0.0,0.0,0.0502461920250091,0.0,0.298913237931172,0.0,0.0,0.0,0.0,0.0,0.0198720355047079,0.0,0.0,0.0998952403585685,0.171432308761003,0.00480486459809555,0.305931663917148,0.100839444625274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.170506912442396
ethanolamine,0.0,0.0,0.0,0.0,0.0,0.0,0.105583883837375,0.0,0.0,0.0854401889271052,0.0,0.0761855582584193,0.128288587726275,0.0,0.281271814778947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0312449951322644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779896848403772,0.0,0.0154493748879538,0.0,0.0,0.0,0.0,0.0709990086242188,0.0,0.0,0.0,0.0502461920250091,0.0,0.191017058606509,0.0,0.0,0.0,0.0,0.0,0.0198720355047079,0.0,0.0,0.0998952403585685,0.0,0.028674607529425,0.0,0.128126342985192,0.0,0.0,0.415532854530044,0.220408163265306,0.119536927103409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
heptylamine,0.203183052626345,0.0958766342608113,0.0,0.011815748176867,0.045201353901343,0.453448307574047,0.0890611777822664,0.0,0.0,0.0,0.0,0.0,0.0,0.0377988506927807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139113173038319,0.00204081632653061,0.011534264895943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
isoamylamine,0.197662312869759,0.0,0.0,0.0177236222653005,0.0482570370871988,0.362477254797011,0.0815501193108674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.109303207387251,0.00102040816326531,0.00838855628795852,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dimethylamine,0.084487147859765,0.100234663090848,0.0427700849457539,0.0443090556632512,0.0881545733685315,0.236963324626533,0.178139140998598,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.489606102511487,0.0959183673469388,0.079691284735606,0.0110456046538173,0.0323956777981122,0.108355469498159,0.0226542745848425,0.0558376068461181,0.0218952392131474,0.352294673268022,0.168365601696655,0.114029854980085,0.0,0.0,0.0
