,pre_root_id,post_root_id,neuropil,syn_count,nt_type
9,720575940613637782,720575940648650884,AL_L,31,ACH
11,720575940617534676,720575940632795532,AL_L,28,ACH
21,720575940622084681,720575940624057853,AL_L,79,ACH
26,720575940617433142,720575940613489617,AL_L,4,ACH
33,720575940627000582,720575940632795532,AL_L,30,ACH
59,720575940628277147,720575940618385620,AL_L,6,ACH
63,720575940627606375,720575940641592795,AL_L,19,ACH
74,720575940620015201,720575940625251401,AL_L,11,ACH
95,720575940612704802,720575940615669972,AL_L,8,SER
104,720575940612634009,720575940624057853,AL_L,12,ACH
117,720575940623854311,720575940623875819,AL_L,8,ACH
134,720575940628285450,720575940632403986,AL_L,18,ACH
142,720575940609924306,720575940628200506,AL_L,24,ACH
151,720575940622242253,720575940631683927,AL_L,38,ACH
164,720575940610185221,720575940606762686,AL_L,69,ACH
179,720575940612615149,720575940632795532,AL_L,12,ACH
189,720575940622211845,720575940644362788,AL_L,19,ACH
197,720575940629239852,720575940628467611,AL_L,31,ACH
198,720575940617067305,720575940626143806,AL_L,29,ACH
227,720575940627000582,720575940623000858,AL_L,41,ACH
260,720575940631510865,720575940616169578,AL_L,12,ACH
278,720575940610185221,720575940639892413,AL_L,72,ACH
282,720575940618293883,720575940628914436,AL_L,5,ACH
297,720575940628285450,720575940648650884,AL_L,33,ACH
301,720575940639022414,720575940623000858,AL_L,5,ACH
320,720575940626811023,720575940632403986,AL_L,43,ACH
342,720575940617067305,720575940630546540,AL_L,29,ACH
357,720575940614548765,720575940611379569,AL_L,9,ACH
394,720575940621740493,720575940648650884,AL_L,116,ACH
405,720575940642599328,720575940618308825,AL_L,107,ACH
441,720575940627707753,720575940611379569,AL_L,9,ACH
454,720575940619219627,720575940623788040,AL_L,12,ACH
461,720575940611990738,720575940623528925,AL_L,60,ACH
463,720575940617067305,720575940607990229,AL_L,17,ACH
469,720575940621100117,720575940625013175,AL_L,6,ACH
492,720575940625795453,720575940629301248,AL_R,7,SER
494,720575940631630893,720575940616169578,AL_L,27,ACH
510,720575940642599328,720575940638128474,AL_L,16,ACH
568,720575940627214891,720575940623636701,AL_L,42,ACH
580,720575940622375389,720575940617910848,AL_L,16,ACH
586,720575940622084681,720575940612732273,AL_L,14,ACH
597,720575940633802045,720575940606762686,AL_L,7,SER
605,720575940622084681,720575940627265274,AL_L,10,ACH
646,720575940628264721,720575940618308825,AL_L,145,ACH
659,720575940627606375,720575940623000858,AL_L,15,ACH
683,720575940628285450,720575940641592795,AL_L,16,ACH
687,720575940626202237,720575940623528925,AL_L,55,ACH
704,720575940626107800,720575940632795532,AL_L,5,ACH
739,720575940620714921,720575940617910848,AL_L,4,ACH
750,720575940620714921,720575940617552541,AL_L,18,ACH
757,720575940610686162,720575940638128474,AL_L,7,ACH
